yearID,monthID,pollutantID,processID,sourceTypeID,fuelTypeID,roadTypeID,SCC,emissionQuant,pollutant_name,process_name,roadtype_name,sourcetype_name
2022,7,1,1,52,3,5,2203520501,27220800,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,2,52,2,1,2202520102,23656400,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,1,52,3,5,2203520501,23463900,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,18,52,1,5,2201520518,15369800,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,18,52,1,5,2201520518,12122000,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,1,62,2,5,2202620501,12096600,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Combination Long-haul Truck
2022,1,1,1,62,2,5,2202620501,11787700,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Combination Long-haul Truck
2022,7,1,1,52,2,5,2202520501,11153500,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,1,62,2,4,2202620401,10764600,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Combination Long-haul Truck
2022,1,1,1,62,2,4,2202620401,10484300,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Combination Long-haul Truck
2022,1,1,1,52,2,5,2202520501,9614140,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,2,52,1,1,2201520102,9523520,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,2,52,1,1,2201520102,9150180,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Single Unit Short-haul Truck
2022,7,1,1,52,1,5,2201520501,8203130,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,18,52,1,4,2201520418,7700360,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,1,52,1,5,2201520501,6226580,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,1,52,3,4,2203520401,6166940,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,18,52,1,4,2201520418,6061080,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,12,52,1,1,2201520112,5924760,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Off-Network,Single Unit Short-haul Truck
2022,7,1,1,61,3,5,2203610501,5917030,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Combination Short-haul Truck
2022,1,1,1,61,3,5,2203610501,5676720,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Combination Short-haul Truck
2022,7,1,1,52,3,1,2203520101,5531370,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,1,52,3,4,2203520401,5315310,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,1,52,3,1,2203520101,4769280,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Short-haul Truck
2022,7,1,19,62,2,4,2202620419,4260950,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Combination Long-haul Truck
2022,1,1,19,62,2,4,2202620419,4148210,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Combination Long-haul Truck
2022,7,1,13,52,1,1,2201520113,3250000,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Off-Network,Single Unit Short-haul Truck
2022,7,1,19,62,2,5,2202620519,3223200,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Combination Long-haul Truck
2022,7,1,1,52,2,4,2202520401,3206180,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,19,62,2,5,2202620519,3138660,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Combination Long-haul Truck
