Year,Make,Fuel,License State
2017,Kenworth,diesel,NJ
2015,International,diesel,NJ
2006,Volvo,diesel,IN
2017,Freightliner,diesel,PA
2014,Volvo,diesel,PA
2006,Freightliner,diesel,PA
2005,Freightliner,diesel,PA
2005,Freightliner,diesel,PA
2012,Freightliner,diesel,PA
2013,Freightliner,diesel,PA
2014,Freightliner,diesel,IN
2008,Freightliner,diesel,IN
,Sterling,diesel,IN
2007,Freightliner,diesel,IN
2013,Freightliner,diesel,PA
2016,Freightliner,diesel,PA
2016,Mack,diesel,DE
2015,Freightliner,diesel,IN
2016,Freightliner,diesel,NJ
2013,Freightliner,diesel,NJ
2016,Freightliner,diesel,FL
2009,Freightliner,diesel,IN
2013,VOLVO TRUCK,diesel,IN
2016,Volvo,diesel,IN
2017,Peterbilt,diesel,NJ
2009,Freightliner,diesel,GA
2017,Volvo,diesel,NJ
2015,Freightliner,diesel,IN
2015,Volvo,diesel,IN
2015,Freightliner,diesel,PA
2012,Mack,diesel,IN
2012,Freightliner,diesel,NJ
2015,KENWORTH,diesel,NJ
2020,FREIGHTLINER,diesel,IN
2015,FREIGHTLINER,diesel,IN
2008,Peterbilt,diesel,IN
2005,FREIGHTLINER,diesel,IN
2013,FREIGHTLINER,diesel,PA
2008,FREIGHTLINER,diesel,NJ
2017,VOLVO TRUCK,diesel,NY
,Kenworth,diesel,IN
2013,FREIGHTLINER,diesel,IN
2007,FREIGHTLINER,diesel,IN
2017,FREIGHTLINER,diesel,IN
2015,FREIGHTLINER,diesel,IN
2014,PETERBILT,diesel,IN
2021,FREIGHTLINER,diesel,PA
2020,KENWORTH,diesel,IN
2019,KENWORTH,diesel,IN
2016,Mack,diesel,IN
2019,INTERNATIONAL,diesel,IN
2020,FREIGHTLINER,diesel,PA
2000,VOLVO TRUCK,diesel,PA
2007,VOLVO TRUCK,diesel,IN
2018,FREIGHTLINER,diesel,GA
2018,FREIGHTLINER,diesel,GA
2019,mack,diesel,IN
2012,kenworth,diesel,PA
2018,kenworth,diesel,IN
2022,freightliner,diesel,
2020,freightliner,diesel,GA
2003,Freightliner,diesel,IN
1999,FREIGHTLINER,diesel,SC
2016,Peterbilt,diesel,IN
2013,Freightliner,diesel,IN
2012,Freightliner,diesel,SC
2002,Freightliner,diesel,SC
,Freightliner,diesel,OH
2016,Volvo,diesel,OH
,Peterbilt,diesel,OH
2007,Freightliner,diesel,IN
2014,Freightliner,diesel,OH
2015,FREIGHTLINER,diesel,IN
2021,PETERBILT,diesel,OH
2005,FREIGHTLINER,diesel,IN
2006,Freightliner,diesel,FL
2007,FREIGHTLINER,diesel,IN
2011,FREIGHTLINER,diesel,IN
2012,Freightliner,diesel,IN
2012,VOLVO,diesel,IN
2010,Peterbilt,diesel,FL
2007,Volvo,diesel,PA
2011,KENWORTH,diesel,IN
2000,FREIGHTLINER,diesel,IN
2012,VOLVO,diesel,FL
2014,FREIGHTLINER,diesel,IN
2013,VOLVO,diesel,IN
2013,VOLVO,diesel,IN
2013,Freightliner,diesel,IN
2005,Freightliner,diesel,IN
2005,Freightliner,diesel,IN
2016,Volvo,diesel,IN
2016,Volvo,diesel,FL
2014,Freightliner,diesel,GA
2006,Freightliner,diesel,FL
2019,Freightliner,diesel,IN
2019,Freightliner,diesel,IN
2019,Freightliner,diesel,IN
2019,Freightliner,diesel,IN
2014,Freightliner,diesel,IN
2016,INTERNATIONAL,diesel,IN
2007,FREIGHTLINER,diesel,IN
2012,Freightliner,diesel,IN
2013,VOLVO TRUCK,diesel,IN
2007,Freightliner,diesel,FL
1998,Freightliner,diesel,FL
2015,Volvo,diesel,NJ
2005,Freightliner,diesel,IN
2006,Freightliner,diesel,IN
2003,Freightliner,diesel,IN
1999,Freightliner,diesel,IN
2016,Freightliner,diesel,IN
2000,Peterbilt,diesel,VA
2015,Freightliner,diesel,IN
,International,diesel,IN
,Freightliner,diesel,IN
2011,FREIGHTLINER,diesel,IN
